word,part of speech,definition,explanation,etymology (comma-separated)
Chalenyeon,Noun,Desafío,,
Chalenyideon,Adjective,Desafiante,,
Chalenyirian,Verb,"Desafiar, retar",,
Chaleon,Noun,"Sandalia, chala",,
Chanareon,Noun,Cualidad,,
Chanarideon,Adjective,Cualitativo,,
Chanteon,Noun,Bolso,,
Chanyadideon,Adjective,"Cambiable, intercambiable",,
Chanyeon,Noun,"Cambio, intercambio",,
Chanyirian,Verb,"Cambiar, intercambiar",,
Chanyiulideon,Adjective,Cambiante,,
Charteon,Noun,Tabla,"Para registrar datos, sea digital o dibujada",Chart
Chasteon,Noun,"Pieza, trozo, fragmento",,
Chastingeon,Noun,"Fragmentación, destrozo",,
Chastirian,Verb,"Fragmentar, despedazar, destrozar",,
Chatorneon,Noun,Canal,Donde pasan líquidos,Chatorn
Chatornuklakeon,Noun,Canalización,,"Chatorn,klak"
Chatornuklakirian,Verb,Canalizar,,"Chatorn,klak"
Cheberiyeon,Noun,Gobierno,,
Cheberiyideon,Adjective,Gubernamental,,
Chefolalkeon,Noun,Tallo,,
Chefoleon,Noun,Tronco,,
Chehemopireon,Noun,República Checa,,
Chehemopiriopaon,Noun,Checo,,
Cheheon,Noun,Chequia,,
Chehideon,Adjective,Checo,,
Chehiopaon,Noun,Checo,,
Chemikemcharteon,Noun,Tabla Periódica de los Elementos,,"Chemik,em,chart"
Chemikemeon,Noun,Elemento químico,,"Chemik,em"
Chemikernemaon,Noun,Químico,,"Chemik,em"
Chemikerneon,Noun,Química,,Chemik
Chemikernideon,Adjective,Químico,,Chemik
Chemikideon,Adjective,Químico,,Chemik
Chemisalkeon,Noun,Blusa,,
Chemiseon,Noun,Camisa,,
Chertasadideon,Adjective,Comprobable,,
Chertasirian,Verb,"Asegurarse, comprobar",,
Chertasnirian,Verb,"Asegurar, certificar",,
Chertateon,Noun,Certeza,,
Cherteon,Noun,"Certeza, seguridad",,
Chertideon,Adjective,"Cierto, seguro",,
Chertideon,Adjective,"Seguro, cierto",,
Chertin,Adverb,"Ciertamente, seguramente, sin duda",,
Chertin,Adverb,"Seguramente, ciertamente",,
Chiboteon,Noun,"Panza, guata",,
Chikabeon,Noun,Juramento,,
Chikabirian,Verb,Jurar,,
Chikeon,Noun,Región,,
Chikideon,Adjective,Regional,,
Chikogambreon,Noun,Regionalista,,
Chikogeon,Noun,Regionalismo,,
Chileon,Noun,Chile,,
Chilideon,Adjective,Chileno,,
Chilideon,Adjective,Chileno,,
Chineon,Noun,China,,
Chinideon,Adjective,Chino,,
Chiniomeon,Noun,Chino,,
Chiniopaon,Noun,Chino,,
Chinniponekriresemeon,Noun,Kanji,,
Chipreon,Noun,Chipre,,
Chipriopaon,Noun,Chipriota,,
Chiranskeon,Noun,Leucemia,,
Chirbunsekeon,Noun,Análisis de Sangre,,
Chirchanyeon,Noun,Transfusión de sangre,,
Chirdarobatemaon,Noun,Donante (sangre),,
Chirdarobateon,Noun,Donación de Sangre,,
Chireon,Noun,Sangre,,
Chirideon,Adjective,Sanguíneo,,
Chirkaosiesideon,Adjective,Ensangrentado,,
Chirtipeon,Noun,Grupo sanguíneo,,
Chirumideon,Adjective,Sangriento,,
Chisasnirian,Verb,Cartografiar,,
Chiseon,Noun,Mapa,,
Chisupeon,Noun,Atlas,,
Chobofemaon,Noun,"Presumido, fanfarrón",,
Chobofeon,Noun,Presunción,,
Chobofideon,Adjective,"Presumido, fanfarrón",,
Chobofirian,Verb,"Presumir, fanfarronear",,
Chokolatemeon,Noun,Chocolatero,,
Chokolateon,Noun,Chocolate,,
Chokolatideon,Adjective,Achocolatado,,
Chos,Adjective,Dos,,
Chos-emseon,Noun,Dúo,,
Chos-tekmonateon,Noun,Diciembre,,
Chosakeon,Noun,Mitad,,
Chosan,Adjective,Segundo,,
Choseon,Noun,Pareja,,
Chosikletemaon,Noun,Ciclista,,
Chosikleteon,Noun,Bicicleta,,
Chosikletirian,Verb,Ir en bicicleta,,
Chosikletuboyeon,Noun,Ciclovía,,
Choskeleon,Noun,Emparejamiento,,
Choskelirian,Verb,Emparejar,,
Chosmonateon,Noun,Febrero,,
Chosulteon,Noun,El doble,,
Chosultideon,Adjective,Doble,,
Chosultingeon,Noun,Duplicación,,
Chosultirian,Verb,Duplicar,,
Chosupasneon,Noun,Emparejamiento,,
Chosupasnirian,Verb,Emparejar,,
Chosupateon,Noun,Paridad,,
Chosupeon,Noun,Par,,
Chuchapleon,Noun,"Papa, patata",,"Chuch,apl"
Chucheon,Noun,Tierra (suelo),,
Chuchin,Adverb,Por tierra,,
Chuchtikilageon,Noun,Terremoto,,
Chuchtikileon,Noun,Temblor (tierra),,
Chuchtikilirian,Verb,Temblar,,
Chulin,Interjection,Hola,,
Chunkalkasirian,Verb,Desmoronarse,,
Chunkalkin,Adverb,En pedacitos,,
Chunkasningeon,Noun,Fragmentación,,
Chunkasnirian,Verb,Fragmentar,,
Chunkeon,Noun,Pedazo,,
Dabasneon,Noun,Obligación,,
Dabasnideon,Adjective,Obligatorio,,
Dabasnin,Adverb,Obligatoriamente,,
Dabasnirian,Verb,"Obligar, forzar",,
Dabeon,Noun,"Deber, obligación",,
Dabinbasneon,Noun,Compromiso,,
Dabinbasnirian,Verb,Comprometer,,
Dabirian,Verb,Deber,,
Dableneon,Noun,Presión,Término físico,Dablen
Dablenirian,Verb,"Presionar, ejercer presión",,Dablen
Dacheon,Noun,"Tinte, tintura",,
Dachflekirian,Verb,Desteñirse,,
Dachirian,Verb,Teñir,,
Dadan,Noun,Mamá,,
Dadon,Noun,Papá,,
Dae,Preposition,Demasiado,,
Daerasneon,Noun,Exageración,,
Daerasnirian,Verb,"Exagerar, pasarse",,
Daeremeon,Noun,Exceso,,
Daerideon,Adjective,"Excesivo, demasiado",,
Daerin,Adverb,Demasiado,,
Daeririan,Verb,"Ser demasiado, sobrar",,
Daersuprasneon,Noun,Inflación,,
Daideon,Adjective,Reciente,,
Dailaneon,Noun,Playa,,
Dain,Adverb,"Justo, justamente, recién, ahora mismo, hace poco, recientemente",,
Dak,"Adjective, Preposition","Detrás de, atrás, detrás, por detrás de",,
Dakeon,Noun,"Revés, reverso",,
Dakgoningeon,Noun,Retroceso,,"Dak,gon"
Dakgonirian,Verb,"Retroceder, ir hacia atrás",,"Dak,gon"
Dakideon,Adjective,Trasero,,
Dakin,Adverb,"Atrás, detrás",,
Dakmofeon,Noun,Retroceso,,"Dak,mof"
Dakmofirian,Verb,"Retroceder, echarse hacia atrás",,"Dak,mof"
Daloneon,Noun,Palma de la mano,,
Dan,Preposition,Que (comparativo),,
Danfesferdableneon,Noun,Presión Atmosférica,,"Danf,esfer,dablen"
Danfesfereon,Noun,Atmósfera,,"Danf,esfer"
Dansatseon,Noun,Discoteca,,
Dansemeon,Noun,"Bailador, danzador",,
Danseon,Noun,"Baile, danza",,
Dansirian,Verb,"Bailar, danzar",,
Dansiulideon,Adjective,Bailarín,,
Danyakeon,Noun,Munición,,
Danyerateon,Noun,Peligrosidad,,
Danyereon,Noun,"Peligro, riesgo",,
Danyerideon,Adjective,"Peligroso, arriesgado",,
Danyeririan,Verb,"Amenazar, arriesgar, poner en peligro",,
Daribeon,Noun,Barba,,Darib
Daribumideon,Adjective,"Barbón, barbudo",,Darib
Darobateon,Noun,Donación,,
Darobatirian,Verb,Donar,,
Dastasirian,Verb,Transformarse,,
Dastasnirian,Verb,Transformar,,
Dateon,Noun,Cita,,
Datirian,Verb,Citar,,
Datumasirian,Verb,Datar,,
Datumeon,Noun,Fecha,,
Datumsukurgoneon,Noun,"Aniversario, cumpleaños",,
Dechbipeon,Noun,Tarjeta de débito,,
Decheon,Noun,Débito,,
Definadideon,Adjective,Definible,,
Defineon,Noun,Definición,,
Definideon,Adjective,Definitorio,,
Dehirian,Verb,Dejar,,
Dekasirian,Verb,Vaciarse,,
Dekasnirian,Verb,Vaciar,,
Dekeon,Noun,Techo,,
Dekeon,Noun,Vacío,,
Dekideon,Adjective,Vacío,,
Dekin,Adverb,Vacíamente,,
Delikatideon,Adjective,Delicado,,
Demaleon,Noun,Descanso,,
Demalirian,Verb,Descansar,,
Demalprakatseon,Noun,Área de Descanso,,"Demal,prak"
Den,Preposition,Entre (más de dos cosas),,
Denakteon,Noun,Interacción,,
Denaktideon,Adjective,Interactivo,,
Denaktin,Adverb,Interactivamente,,
Denaktirian,Verb,Interactuar,,
Denaltrin,Adverb,Entre otras cosas,,
Denideon,Adjective,Intermedio,,
Denkaenirian,Verb,Sugerir,,
Denkemeon,Noun,Pensador,,
Denkingeon,Noun,Pensamiento,,
Denkirian,Verb,Pensar,,
Denkiulideon,Adjective,Pensativo,,
Denmarkeon,Noun,Dinamarca,,
Denmarkiomeon,Noun,Danés,,
Denmarkiopaon,Noun,Danés,,
Deon?,Adverb,¿Dónde?,,Deon
Deos,"Adverb, Preposition",Donde,,
Derchatirian,Verb,Mantener,,
Desembrismonateon,Noun,Diciembre,,
Detailemeon,Noun,Detallista,,
Detailemideon,Adjective,Detallista,,
Detaileon,Noun,Detalle,,
Detailideon,Adjective,Detallado,,
Detailin,Adverb,Detalladamente,,
Detailirian,Verb,Detallar,,
Detailiulideon,Adjective,Meticuloso,,
Detayeon,Noun,Absoluto,,
Detayideon,Adjective,Absoluto,,
Detayin,Adverb,Absolutamente,,
Deusan,Noun,Diosa,,
Deusasneon,Noun,"Apoteosis, divinización",,
Deusasnirian,Verb,Divinizar,,
Deusateon,Noun,Divinidad,,
Deusideon,Adjective,Divino,,
Deusogeon,Noun,Deísmo,,
Deuson,Noun,Dios,,
Dibiradideon,Adjective,Divisible,,
Dibiremeon,Noun,Divisor,,
Dibireon,Noun,División,,
Dibiriesemeon,Noun,Dividendo,,
Dibiririan,Verb,Dividir,,
Dien,Adjective,Cien,,
Dienakeon,Noun,"Centésimo, céntimo",,
Dienakgrameon,Noun,Centígramo,,
Dienakmerteon,Noun,Centímetro,,
Dienakmetreon (dam),Noun,Centímetro,,
Dienan,Adjective,Centésimo,,
Dieneon,Noun,"Centenar, cientos",,
Dienis,Adverb,De cien en cien,,
Diferasnataenirian,Verb,Variar,,
Diferasnateon,Adjective,Variedad,,
Diferasnirian,Verb,Variar,,
Difereon,Noun,Diferencia,,
Diferesademeon,Noun,Variable,,
Diferesadideon,Adjective,Variable,,
Diferesasneon,Noun,Variación,,
Diferesemupeon,Noun,Variedad,,
Diferesirian,Verb,Variar,,
Diferideon,Adjective,Diferente,,
Diferirian,Noun,"Diferir, ser diferente",,
Difisasnirian,Verb,Dificultar,,
Difiseon,Noun,Dificultad,,
Difisideon,Adjective,"Difícil, duro",,
Difisidin,Adverb,Dificilmente,,
Dinemeon,Noun,"Sirviente, servidor, siervo",,
Dinemideon,Adjective,Sirviente,,
Dineon,Noun,Servicio,,
Dinirian,Verb,Servir,,
Dinofideon,Adjective,Servil,,
Direktideon,Adjective,Directo,,
Direktin,Adverb,Directamente,,
Diskalkeon,Noun,Platillo,,
Diskeon,Noun,"Disco, plato",,
Distansasneon,Noun,Distanciamiento,,
Distanseon,Noun,Distancia,,
Distansideon,Adjective,Distante,,
Distansin,Adverb,Distantemente,,
Distansirian,Verb,"Distanciar, distar",,
Diyeon,Noun,Día,,
Diyideon,Adjective,Diario,,
Diyin,Adverb,Diariamente,,
Diyirian,Verb,Ser un día,,
Doishpasneon,Noun,Alemania,,
Doishpasnideon,Adjective,Alemán,,
Doishpasniomeon,Noun,Alemán,,
Doishpasniopaon,Noun,Alemán,,
Dokaseon,Noun,Evidencia,,
Dokasideon,Adjective,Evidente,,
Dokasirian,Verb,Evidenciar,,
Dolareon,Noun,Dólar,,
Doleon,Noun,Muñeca,,
Dominikayemopireon,Noun,República Dominicana,,
Dominikayemopiriopaon,Noun,Dominicano,,
Dominikayeon,Noun,Dominica,,
Dominikayiopaon,Noun,Dominiqués,,
Dontageon,Noun,Colmillo,,
Donteon,Noun,Diente,,
Dontideon,Adjective,Dental,,
Dontupeon,Noun,Dentadura,,
Doreon,Noun,"Lodo, fango, barro",,
Dorfalkeon,Noun,Caserío,,
Dorfandeon,Noun,Alcalde,,
Dorfeon,Noun,"Aldea, pueblo, poblado",,
Dorfideon,Adjective,Aldeano,,
Dorfiopaon,Noun,Aldeano,,
Dorideon,Adjective,"Fangoso, lodoso, barroso",,
Dotayeon,Noun,"Torso, tronco",,
Drab-lisenseon,Noun,Licencia de conducir,,
Drabalobeon,Noun,Permiso de conducir,,
Drabemaon,Noun,"Conductor, piloto",,
Drabirian,Verb,"Conducir, manejar (vehículo)",,
Drabofeon,Noun,"Manubrio, volante",,
Drabofupeon,Noun,Mecanismo de dirección,,
Draboyeon,Noun,Carril,,
Dreseon,Noun,Vestido,,
Dubarageon,Noun,Muralla,,
Dubareon,Noun,Muro,,
Dubarklakirian,Verb,Amurallar,,
Dubitadideon,Adjective,Dudable,,
Dubitasnirian,Verb,Hacer dudar,,
Dubiteon,Noun,Duda,,
Dubiterbideon,Adjective,Dudoso,,
Dubitideon,Adjective,Dudoso,,
Dubitirian,Verb,Dudar,,
Dublenyemaon,Noun,"Actor de doblaje, actriz de doblaje",,"Dubl,eny"
Dubleon,Noun,Doblaje,,Dubl
Dublirian,Verb,Doblar,Reemplazar la voz de un actor,Dubl
Duftyaktikseon,Noun,Incienso,,"Duft,yak,tiks"
Dukasirian,Verb,Agacharse,,
Dukirian,Verb,Estar en cuclillas,,
Dulsatseon,Noun,Dulcería,,
Dulseon,Noun,"Dulce, golosina, caramelo",,
Dulsiuleon,Noun,Goloso,,
Dulsiulideon,Adjective,Goloso,,
Dumor,Preposition,Además de,,
Dumoremeon,Noun,Complemento,,
Dumorideon,Adjective,Adicional,,
Dumorin,Adverb,"Además, también",,
Dur,Preposition,Durante,,
Durdiyin,Adverb,De día,,
Durmalkeon,Noun,Siesta,,
Durmalkirian,Noun,"Dormitar, echar la siesta",,
Durmasnirian,Verb,Adormecer,,
Durmasnofeon,Noun,Somnífero,,
Durmemeon,Noun,Cama,,
Durmirian,Verb,Dormir,,
Durmiuleon,Noun,Dormilón,,
Durmiulideon,Adjective,Somnoliento,,
Durmuliasachemeon,Noun,Cama,,
Durmuliasachirian,Verb,Acostarse a dormir,,
Durmumalseon,Noun,Pijama,,
Durnoktin,Adverb,De noche,,
Dusnikeon,Noun,Tráquea,,
E.B.M.,Noun,A.T.M.,,
Eareon,Noun,Área,,Ear
Ebenteon,Noun,Evento,,
Efekseon,Noun,Efecto (digital),,
Efekteon,Noun,Efecto,,
Ekinalkeon,Noun,Poni,,
Ekinatseon,Noun,Establo,,
Ekineon,Noun,"Caballo, Yegua",,
Ekineona,Noun,Yegua,,
Ekineono,Noun,Caballo,,
Ekinideon,Adjective,Equino,,
Ekiniteon,Noun,Potro,,
Ekinkonasnestradeon,Noun,Corredera,,
Eklandeon,Noun,Pastor,,
Eklandupeon,Noun,Clero,,
Ekleon,Noun,Iglesia,,
Eklideon,Adjective,Eclesiástico,,
Ekobeon,Noun,Gloria,,
Ekobideon,Adjective,Glorioso,,
Ekobiesideon,Adjective,Glorificado,,
Ekobirian,Verb,Glorificar,,
Ekraneon,Noun,Pantalla,,
Ekremaon,Noun,"Escritor, escriba",,
Ekrideon,Adjective,Escrito,,
Ekrin,Adverb,Por escrito,,
Ekriresemeon,Noun,"Escrito, escritura",,
Ekririan,Verb,Escribir,,
Ekrofeon,Noun,Lápiz,,
Ekrofonteon,Noun,Estuche escolar,,
Ekruteon,Noun,Garabato,,
Ekrutirian,Verb,Garabatear,,
Eksakteon,Noun,Exactitud,,
Eksaktideon,Adjective,Exacto,,
Eksaktin,Adverb,Exactamente,,
Ekspereon,Verb,Experimento,,
Eksperideon,Adjective,Experimental,,
Eksperingeon,Noun,Experimentación,,
Eksperirian,Verb,Experimentar,,
Ekuadoreon,Noun,Ecuador,,
Ekuadorgineon,Noun,Guinea Ecuatorial,,
Ekuadorideon,Adjective,Ecuatorial,,
Ekualeon,Noun,"Igualdad, equidad",,
Ekualideon,Adjective,Igual,,
Ekualin,Adverb,"Igualmente, en partes iguales",,
Ekuatoreon,Noun,Ecuador,,
Ekuatoriopaon,Noun,Ecuatoriano,,
Elbeon,Verb,Pérdida,,
Elbirian,Verb,Perder (objeto),,
Elekteon,Noun,"Selección, elección",,
Elektirian,Verb,"Seleccionar, elegir",,
Elektiulideon,Adjective,Selectivo,,
Elektrasnirian,Verb,Electrificar,,
Elektratseon,Noun,Central Eléctrica,,
Elektremeon,Noun,Electricista,,
Elektreon,Noun,Electricidad,,
Elektrideon,Adjective,Eléctrico,,
Elektroneon,Noun,Electrón,,
Elektronikeon,Noun,Electrónica,,
Elektronikideon,Adjective,Electrónica,,
Elektronikin,Adverb,Electrónicamente,,
Elenepireon,Noun,Grecia,,
Elenepiriomeon,Noun,Griego,,
Elenepiriopaon,Noun,Griego,,
Elf,Pronoun,Se,,
Elfaktasneon,Noun,Automatización,,
Elfaktasnirian,Verb,Automatizar,,
Elfaktideon,Adjective,Automático,,
Elfaktu Bilmonetaenidu Machineon,Noun,Cajero Automático,,
Elfstan,Adverb,A uno mismo,,
Elimineon,Noun,Eliminación,,
Eliminideon,Adjective,Eliminatorio,,
Eliminirian,Verb,"Eliminar, quitar",,
Elisbayeon,Noun,Trópico,,
Elisbayideon,Adjective,Tropical,,
Elkeon,Noun,Alce,,
Elsalbadoreon,Noun,El Salvador,,
Elsalbadoriopaon,Noun,"Salvadoreño, salvadorense",,
Em,Pronoun,"Algún, alguno, alguna, alguien, algo",,Em
Eman,Noun,Mujer,,
Emaon,Pronoun,Alguien,,Em
Emaon,Noun,"Una persona, alguien",,Em
Emeon,Noun,"Objeto, cosa",,
Emhosononteon,Noun,Cajón,,
Emideon,Adjective,"Algún, alguno",,Em
Emideon,Adjective,"Algún, alguna, alguno",,Em
Emon,Noun,Hombre,,
Emopireon,Noun,República,,
Emopirideon,Adjective,Republicano,,
Emopirogambreon,Noun,Republicano,,
Emopirogeon,Noun,Republicanismo,,
Enchantemaon,Noun,Hechicero,,
Enchanteon,Noun,"Encantamiento, hechizo",,
Enchantirian,Verb,"Encantar, hechizar",,
Enchantutikseon,Noun,Varita Mágica,,
Endadideon,Adjective,Cambiable,,
Endasiulideon,Adjective,Cambiante,,
Endeon,Noun,Cambio,,
Endideon,Adjective,Cambiante,,
Endirian,Verb,Cambiar,,
Enerbasnideon,Adjective,"Molesto, molestoso",,
Enerbasnirian,Verb,Molestar,,
Enerbeon,Noun,Molestia,,
Enerbideon,Adjective,Molesto,,
Enerbirian,Verb,Molestarse,,
Enfeleon,Noun,Suferencia,,
Enfelirian,Verb,Sugerir,,
Enkaenemaon,Noun,Engendrador,,
Enkaeniesemeon,Noun,Engendro,,
Enkaenirian,Verb,Engendrar,,
Enkdokasemaon,Noun,Testigo,,
Enkdokaseon,Noun,Testimonio,,
Enkdokasideon,Adjective,Testimonial,,
Enkdokasirian,Verb,"Testimoniar, atestiguar",,
Enkemeon,Noun,Ser,,
Enkeon,Noun,Existencia,,
Enkingideon,Adjective,Existente,,
Enkirian,Verb,Existir,,
Enkogeon,Noun,Existencialismo,,
Enoifin,Adverb,De nuevo,,
Enoseon,Noun,Género,,
Ensemeon,Noun,"Instalación, establecimiento",,
Ensenatseon,Noun,Escuela,,
Ensenemateon,Noun,Profesorado,,
Ensenemeon,Noun,Profesor,,
Ensenideon,Adjective,"Educativo, instructivo",,
Ensenirian,Noun,"Enseñar, instruir",,
Enseon,Noun,Instalación,,
Ensirian,Verb,Instalar,,
Ensofeon,Noun,"Instalador, programa de instalación",,
Entadasneon,Noun,Explicación,,
Entadateon,Noun,Inteligibilidad,,
Entadideon,Adjective,"Entendible, comprensible",,
Entadin,Adverb,Por supuesto,,
Entandasnirian,Verb,Explicar,,
Entemeon,Noun,Noción,,
Enteon,Noun,"Comprensión, entendimiento",,
Enterprisemaon,Noun,Empresario,,
Enterpriseon,Noun,Empresa,,
Enterprisideon,Adjective,Empresarial,,
Enterprisingemaon,Noun,Emprendedor,,
Enterprisingeon,Verb,Emprendimiento,,
Enterprisirian,Verb,Emprender,,
Entirian,Verb,"Comprender, entender",,
Entiulideon,Adjective,Comprensivo,,
Entukadeon,Noun,Inteligencia,,
Enuyasnirian,Verb,"Aburrir, hastiar",,
Enuyideon,Adjective,Aburrido,,
Enuyirian,Verb,Aburrirse,,
Enyemaon,Noun,"Actor, actriz",,"Eny,em"
Enyeon,Noun,Actuación,,Eny
Enyineon,Noun,Motor,,
Enyingeldofeon,Noun,"Sierra Eléctrica, motosierra",,
Enyinsikletalkeon,Noun,Scooter (motor),,
Enyinsikletemaon,Noun,Motociclista,,
Enyinsikleteon,Noun,Motocicleta,,
Enyinsikletingeon,Noun,Motociclismo,,
Enyirian,Verb,Actuar,De Actuación ????,Eny
Eo,Pronoun,Ello,,
Eoos,Adjective,"Suyo, su (de ello)",,
Eostan,Pronoun,A ello,,
Eplodirian,,"Desatar, explotar, reventar, liberarse",Sentido no figurado,Eplod
Erineon,Noun,Labio,,
Erinhareon,Noun,"Bigote, mostacho",,
Erinideon,Adjective,Labial,,
Erinpaintofeon,Noun,Pintalabios,,
Erneon,Noun,Seriedad,,
Ernideon,Adjective,Serio,,
Ernin,Adverb,En serio,,
Erok,Conjunction,Cuando,,
Erumpeon,Noun,Erupción,,
Erumpideon,Adjective,Eruptivo,,
Erumpirian,Verb,Eruptar,,
Erzeon,Noun,Tierra (Planeta),,
Erzideon,Adjective,Terrestre,,
Erziopaon,Noun,Terrícola (de la Tierra),,
Erziopideon,Adjective,Terrestre (de la Tierra),,
Esfereon,Noun,Esfera,,
Esferideon,Adjective,Esférico,,
Eshtareon,Noun,"Estrella, celebridad",,
Eshtatandeon,Noun,Jefe de Estado,,
Eshtatasneon,Noun,"Estatización, estatalización",,
Eshtatasnirian,Verb,"Estatizar, estatalizar",,
Eshtatideon,Adjective,Estatal,,
Eshtatisdayeon,Noun,Alta traición,,
Eshtatiskueleteon,Noun,Deuda pública,,
Eshtatungaheon,Noun,Golpe de estado,,
Eshterneon,Noun,Estrella,,
Esitideon,Adjective,"Emocionante, excitante",,
Esitiesideon,Adjective,"Emocionado, excitado",,
Esitirian,Verb,"Emocionar, excitar",,
Eskarasiulideon,Adjective,Asustadizo,,
Eskareon,Noun,Susto,,
Eskaririan,Verb,Asustar,,
Eskatseon,Noun,Auditorio,,
Eskirian,Verb,Escuchar,,
Eskutreon,Noun,"Scooter, escúter",,
Eslegeon,Noun,"Fibra, filamento",,
Eslegumideon,Adjective,Fibroso,,
Eslobakeon,Noun,Eslovaquia,,
Eslobakiomeon,Noun,Eslovaco,,
Eslobakiopaon,Noun,Eslovaco,,
Eslobeneon,Noun,Eslovenia,,
Eslobeniomeon,Noun,Esloveno,,
Eslobeniopaon,Noun,Esloveno,,
Esmokingeon,Noun,Esmoquín,,
Espaseon,Noun,Espacio,,
Espaskroneon,Noun,Espacio-tiempo,,
Espasumideon,Adjective,Espacioso,,
Espendageon,Noun,Despilfarro,,
Espendeon,Noun,Gasto,,
Espendideon,Adjective,"Costoso, laborioso",,
Espendirian,Verb,Gastar,,
Espesimeon,Noun,"Espécimen, muestra",,
Espesimingeon,Noun,Muestreo,,
Espesimupeon,Noun,Muestrario,,
Esplasheon,Noun,"Salpicón, salpicadura",,
Esplashirian,Verb,Salpicar,,
Espokeon,Noun,Radio,De la Rueda de Bicicleta,Espok
Esportatseon,Noun,Polideportivo,,
Esportensenemaon,Noun,Instructor de deporte,,"Esport,Ensen,Em"
Esportideon,Adjective,Deportivo,,
Esportirian,Verb,Practicar un deporte,,
Esportubeabofeon,Noun,Bebida isotónica,,Beab
Esportuguageon,Noun,Polerón,,
Esportukalspideon,Noun,Zapatillas de tenis,,
Estandasirian,Verb,"Pararse, ponerse de pie",,
Estandasnirian,Verb,"Levantar, enderezar, poner de pie",,
Estandirian,Verb,"Estar de pie, estar parado",,
Esteon,Noun,"Este, oriente",,
Estideon,Adjective,Oriental,,
Estideon,Adjective,Oriental,,
Estileon,Noun,Estilo,,Estil
Estilideon,Adjective,"Estilístico, con estilo",,Estil
Estin,Adverb,"Al oriente, al este",,
Estomeon,Noun,Estómago,,
Estomideon,Adjective,Estomacal,,
Estoneon,Noun,Estonia,,
Estoniomeon,Noun,Estonio,,
Estoniopaon,Noun,Estonio,,
Estradalkeon,Noun,Callejón,,
Estradeon,Noun,Calle,,
Estreleon,Noun,Estrella,,
Estutimoreon,Noun,Timor Oriental,,
Estutimoriopaon,Noun,Timorense,,
Eufitdiyeon,Noun,Jueves,,
Eufiteon,Noun,Júpiter,,
Eufitideon,Adjective,Joviano,,
Eureon,Noun,Euro,,
Europeon,Noun,Europa,,
Europideon,Adjective,Europeo,,
Europiopaon,Noun,Europeo (origen),,
Europiopideon,Adjective,Europeo (origen),,
Eyemeon,Noun,Contorno,,
Eyeon,Noun,Borde,,
Eyifteon,Noun,Egipto,,
Eyiftiomeon,Noun,Egipcio,,
Eyiftiopaon,Noun,Egipcio,,
Eyirian,Verb,Bordear,,
Fadalkeon,Noun,Hilacha,,
Fadeon,Noun,Hilo,,
Fadupeon,Noun,Ovillo,,
Fahasnirian,Verb,Facilitar,,
Fahemeon,Noun,Pan comido,,
Faheon,Noun,Facilidad,,
Fahideon,Adjective,Fácil,,
Fahin,Adverb,Fácilmente,,
Faigeon,Noun,Higo,,Faig
Fainasdatumeon,Noun,Fecha de expiración,,
Fainaseon,Noun,Expiración,,
Fainasirian,Verb,Expirar,,
Faineon,Noun,Final,,
Fainideon,Adjective,"Final, terminal",,
Fainingemeon,Noun,"Terminación, finalización",,
Fainingeon,Noun,Finalista,,
Fainirian,Verb,"Finalizar, terminar",,
Fakeon,Noun,Mentira,,
Fakideon,Adjective,Falso,,
Faktoremaon,Noun,Fabricante,,
Faktoreon,Noun,Fábrica,,
Faktoringeon,Noun,Fabricación,,
Faktoririan,Verb,Fabricar,,
Falalkeon,Noun,Tropezón,,
Falalkirian,Verb,Tropezarse,,
Falasnirian,Verb,"Derribar, abatir",,
Faleon,Noun,Caída,,
Falirian,Verb,Caer,,
Famileon,Noun,Familia,,
Familideon,Adjective,Familiar,,
Fangeon,Noun,Captura,,
Fangiesemeon,Noun,Botín,,
Fangirian,Verb,"Capturar, atrapar",,
Fangofeon,Noun,Trampa,,
Farbaenirian,Verb,Teñir,,
Farbasnemeon,Noun,Tintorero,,
Farbasnirian,Verb,"Teñir, colorar",,
Farbeon,Noun,Color,,
Farbespaseon,Noun,Espacio de color,,
Farbideon,Adjective,De color,,
Farbirian,Verb,Colorear,,
Farbofeon,Noun,Pintura,,
Farbumideon,Adjective,Colorido,,
Fasgideon,Adjective,Picante,,
Fasgirian,Verb,Picar,,
Fasgusenseon,Noun,Picor,,
Fashlemeon,Noun,Determinante,,
Fashleon,Noun,Determinación,,
Fashlideon,Adjective,Determinante,,
Fashlirian,Verb,Determinar,,
Fashonaratirian,Verb,Modelar,,
Fashonemaon,Noun,"Estilista, modelador",,
Fashoneon,Noun,Moda,,
Fasianeon,Noun,Faisán,,Fasian
Fasirian,Verb,Abrochar,,
Fasofeon,Noun,Cremallera,,
Faumem,Adverb,"De alguna forma, de algún modo",,"Faum,em"
Faumeon,Noun,"Forma (para lograr algo), medio, método",,Faum
Faumnem,Adverb,De ninguna manera o forma,,"Faum,nem"
Faumtuti,Adverb,De todas formas o maneras,,"Faum,tut"
Februarmonateon,Noun,Febrero,,
Fedolsumasnirian,Verb,Engordar,,
Fedolsumchibotideon,Adjective,"Panzudo, panzón, barrigón",,
Fedolsumemaon,Noun,"Gordinflón, gordo, Guatón",,"Fedols,em"
Fedolsumideon,Adjective,"Gordo, Guatón",,Fedols
Fedolsumyubeon,Noun,Dedo pulgar,,
Fegagasnadideon,Adjective,Extensible,,
Fegagasnemeon,Noun,Extensión,,
